光学工程-光通信与光信息技术,光学工程-光电子技术及应用,光学工程-光电传感与显示技术,电子科学与技术-集成电路系统设计,电子科学与技术-微波与天线工程,电子科学与技术-嵌入式电路与系统,电子科学与技术-光电信息技术与应用,电子科学与技术-导航与定位,集成电路科学与工程-集成电路科学与工程,专业领域-新一代电子信息技术,专业领域-集成电路工程,专业领域-光电信息工程
白靖,常凌颖,曾祥忠,陈东,冯桂荣,白菊蓉,董军,曹成虎,杜慧敏,白靖,山蕊,陈东
巩稼民,蒋杰伟,董军,陈海峰,李绪平,丁鹏飞,高伟,黄海生,邓万宇,白菊蓉,商锋,陈海峰
韩冬冬,罗文峰,高伟,陈庆,李亚鹏,杜慧敏,葛海波,毛永毅,董军,曹成虎,商世广,陈庆
贺锋涛,吕淑媛,葛海波,程开,商锋,葛海波,韩冬冬,商锋,佟星元,陈海峰,师小琳,程开
胡明亮,彭波,韩庆艳,邓军勇,王前,谷静,韩庆艳,王前,,邓军勇,师亚莉,邓军勇
惠战强,王翀,李春艳,董嗣万,杨海龙,贺锋涛,李田甜,杨军华,,丁鹏飞,汤琦,丁鹏飞
李田甜,张建磊,李冬冬,杜慧敏,杨军华,黄海生,李拓,张宝军,,董军,唐威,董嗣万
梁猛,张美志,梁磊,关云鹤,张肖肖,蒋杰伟,刘继红,张新,,董嗣万,田磊,杜慧敏
刘继红,张倩,任凯利,郭三栋,张运启,李国辉,任凯利,,,杜慧敏,佟星元,冯臻夫
杨祎,郑益朋,王勇凯,黄东,郑光明,刘维红,张成云,,,冯桂荣,汪西虎,关云鹤
赵峰,,张成云,黄海生,周文佳,廖延娜,张建磊,,,高伟,王前,郭三栋
余建军,,张稳稳,焦继业,,刘维红,张稳稳,,,葛海波,吴成茂,黄东
,,张智喻,刘维红,,毛永毅,张智喻,,,谷静,吴进,黄海生
,,郑转平,刘祥泰,,师小琳,郑益朋,,,郭华,徐静萍,焦继业
,,朱礼鹏,刘有耀,,汤琦,朱礼鹏,,,贺锋涛,闫雪,刘维红